S/N,Throughput,UL Packet Loss,DL Packet Loss
304,559.87746875,0.00002292,0.00006245
305,561.71235938,0.00002284,0.00006222
306,563.59974219,0.00002278,0.00006201
307,564.92809375,0.00002271,0.00006182
308,566.63783594,0.00002264,0.00006161
309,568.49396875,0.00002257,0.00006139
310,569.94947656,0.00002250,0.00006117
311,571.59380469,0.00002243,0.00006099
312,573.40388281,0.00002236,0.00006079
313,574.98429688,0.00002230,0.00006056
314,576.74272656,0.00002223,0.00006037
315,578.47780469,0.00002216,0.00006016
316,580.10103125,0.00002210,0.00005994
317,581.88350000,0.00002203,0.00005976
318,583.17333594,0.00002197,0.00005959
319,585.07318750,0.00002190,0.00005939
320,586.86977344,0.00002184,0.00005918
321,588.38680469,0.00002177,0.00005898
322,590.25648438,0.00002171,0.00005876
323,592.04233594,0.00002164,0.00005856
324,593.42985938,0.00002158,0.00005837
325,595.20916406,0.00002152,0.00005819
326,597.07421094,0.00002146,0.00005797
327,598.53868750,0.00002139,0.00005779
328,600.26638281,0.00002133,0.00005761
329,601.66340625,0.00002127,0.00005743
330,603.51372656,0.00002121,0.00005724
331,605.32487500,0.00002115,0.00005705
332,606.79334375,0.00002109,0.00005687
333,608.52895313,0.00002103,0.00005668
334,610.25950781,0.00002097,0.00005651
335,611.67483594,0.00002091,0.00005635
336,613.35073438,0.00002085,0.00005619
337,615.19541406,0.00002079,0.00005602
338,616.64507813,0.00002074,0.00005584
339,618.47708594,0.00002068,0.00005565
340,620.37882813,0.00002062,0.00005547
341,621.70449219,0.00002057,0.00005531
342,623.36278125,0.00002051,0.00005515
343,624.77171875,0.00002045,0.00005499
344,626.62382813,0.00002040,0.00005480
345,628.52129688,0.00002034,0.00005461
346,629.92357813,0.00002028,0.00005446
347,631.60105469,0.00002023,0.00005428
348,633.16329688,0.00002017,0.00005414
349,634.69258594,0.00002012,0.00005395
350,636.41118750,0.00002006,0.00005378
351,638.21140625,0.00002001,0.00005359
352,639.67621094,0.00001995,0.00005344
353,641.43612500,0.00001990,0.00005327
354,642.78446875,0.00001985,0.00005313
355,644.59653125,0.00001979,0.00005297
356,646.29491406,0.00001974,0.00005282
357,647.73098438,0.00001969,0.00005266
358,649.38920313,0.00001964,0.00005250
359,650.87206250,0.00001959,0.00005236
360,652.20298438,0.00001953,0.00005223
361,653.96912500,0.00001948,0.00005206
362,655.70757813,0.00001943,0.00005189
363,657.18685938,0.00001938,0.00005173
364,658.73389844,0.00001933,0.00005160
365,659.89789063,0.00001928,0.00005149
366,661.63175781,0.00001923,0.00005133
367,663.12387500,0.00001918,0.00005121
368,664.37560156,0.00001913,0.00005107
369,666.20084375,0.00001908,0.00005091
370,667.79985156,0.00001903,0.00005076
371,669.02692969,0.00001898,0.00005064
372,670.59482813,0.00001894,0.00005050
373,672.19760156,0.00001889,0.00005038
374,673.53085156,0.00001884,0.00005023
375,675.12080469,0.00001879,0.00005010
376,676.78191406,0.00001874,0.00004996
377,678.08658594,0.00001870,0.00004984
378,679.62056250,0.00001865,0.00004971
379,680.76659375,0.00001860,0.00004961
380,682.45922656,0.00001856,0.00004947
381,684.03622656,0.00001851,0.00004935
382,685.30960938,0.00001847,0.00004923
383,686.94416406,0.00001842,0.00004910
384,688.46542969,0.00001837,0.00004899
385,689.85663281,0.00001833,0.00004886
386,691.48652344,0.00001828,0.00004873
387,693.42642188,0.00001824,0.00004858
388,695.88066406,0.00001819,0.00004841
389,698.21390625,0.00001815,0.00004826
390,700.62450000,0.00001810,0.00004812
391,702.87583594,0.00001806,0.00004798
392,705.53750781,0.00001802,0.00004781
393,707.92278125,0.00001797,0.00004766
394,710.58943750,0.00001793,0.00004750
395,713.02126563,0.00001789,0.00004736
396,715.12942969,0.00001784,0.00004722
397,717.66749219,0.00001780,0.00004708
398,720.13526563,0.00001776,0.00004694
399,722.73979688,0.00001771,0.00004678
400,724.94355469,0.00001764,0.00004664
401,727.35608594,0.00001758,0.00004649
402,729.54602344,0.00001754,0.00004636
403,731.45078906,0.00001750,0.00004624
404,732.99724219,0.00001746,0.00004612
405,734.84111719,0.00001742,0.00004600
406,736.76303125,0.00001738,0.00004587
407,738.20200781,0.00001734,0.00004576
408,740.20131250,0.00001730,0.00004562
409,742.13308594,0.00001725,0.00004550
410,743.66078906,0.00001722,0.00004538
411,745.64092969,0.00001718,0.00004525
412,747.66465625,0.00001714,0.00004513
413,749.07652344,0.00001710,0.00004503
414,750.96973438,0.00001706,0.00004490
415,752.72578906,0.00001702,0.00004479
416,754.54254688,0.00001698,0.00004467
417,756.40789063,0.00001694,0.00004455
418,757.95750781,0.00001690,0.00004443
419,759.87367188,0.00001686,0.00004431
420,761.51058594,0.00001683,0.00004421
421,762.83284375,0.00001679,0.00004412
422,764.57928906,0.00001675,0.00004401
423,766.37933594,0.00001671,0.00004389
424,767.84233594,0.00001668,0.00004379
425,769.70293750,0.00001664,0.00004367
426,771.35147656,0.00001660,0.00004358
427,772.86307813,0.00001656,0.00004347
428,774.59335156,0.00001653,0.00004336
429,775.98650781,0.00001649,0.00004326
430,777.81096094,0.00001645,0.00004315
431,779.56092188,0.00001642,0.00004304
432,780.73128125,0.00001638,0.00004297
433,782.35977344,0.00001635,0.00004286
434,783.86575000,0.00001631,0.00004277
435,785.16507031,0.00001627,0.00004268
436,786.66196094,0.00001624,0.00004259
437,788.14642188,0.00001620,0.00004251
438,789.33503906,0.00001617,0.00004242
439,790.76335938,0.00001613,0.00004234
440,792.15393750,0.00001610,0.00004225
441,793.70384375,0.00001606,0.00004215
442,795.08081250,0.00001603,0.00004207
443,796.38698438,0.00001600,0.00004197
444,798.25311719,0.00001596,0.00004186
445,799.83097656,0.00001593,0.00004177
446,801.13985938,0.00001589,0.00004168
447,802.90327344,0.00001586,0.00004158
448,804.65077344,0.00001582,0.00004149
449,806.00599219,0.00001579,0.00004140
450,807.65588281,0.00001576,0.00004131
451,809.17014844,0.00001572,0.00004123
452,810.52212500,0.00001569,0.00004114
453,812.21753125,0.00001566,0.00004105
454,813.51063281,0.00001562,0.00004097
455,814.93264063,0.00001559,0.00004088
456,816.44601563,0.00001556,0.00004079
457,817.49350000,0.00001553,0.00004071
458,818.95258594,0.00001549,0.00004063
459,820.39062500,0.00001546,0.00004055
460,821.47549219,0.00001543,0.00004047
461,822.90676563,0.00001540,0.00004038
462,824.37741406,0.00001537,0.00004029
463,825.50216406,0.00001533,0.00004021
464,827.01946094,0.00001530,0.00004012
465,828.07794531,0.00001527,0.00004004
466,829.53508594,0.00001524,0.00003996
467,831.32352344,0.00001521,0.00003987
468,832.54460938,0.00001518,0.00003980
469,834.12607031,0.00001515,0.00003972
470,835.66752344,0.00001512,0.00003964
471,836.88459375,0.00001509,0.00003956
472,838.55309375,0.00001506,0.00003947
473,840.07105469,0.00001502,0.00003938
474,841.34089063,0.00001499,0.00003931
475,842.92960156,0.00001496,0.00003922
476,844.37476563,0.00001493,0.00003915
477,845.82246875,0.00001490,0.00003906
478,847.42179688,0.00001487,0.00003898
479,848.61961719,0.00001484,0.00003891
480,850.42375000,0.00001481,0.00003881
481,852.06059375,0.00001478,0.00003872
482,853.36468750,0.00001476,0.00003865
483,855.00630469,0.00001473,0.00003857
484,856.65676563,0.00001470,0.00003850
485,857.96432031,0.00001467,0.00003843
486,859.68549219,0.00001464,0.00003835
487,861.46747656,0.00001461,0.00003827
488,862.74387500,0.00001458,0.00003820
489,864.41631250,0.00001455,0.00003812
490,865.85885938,0.00001453,0.00003805
491,867.58421094,0.00001450,0.00003797
492,869.36594531,0.00001447,0.00003789
493,870.64146094,0.00001444,0.00003782
494,872.35978125,0.00001441,0.00003775
495,874.18207031,0.00001439,0.00003767
496,875.60755469,0.00001436,0.00003759
497,877.43396875,0.00001433,0.00003751
498,879.28601563,0.00001430,0.00003743
499,880.45444531,0.00001427,0.00003737
500,882.35846875,0.00001425,0.00003728
501,883.68813281,0.00001422,0.00003722
502,885.49058594,0.00001419,0.00003713
503,887.26128906,0.00001417,0.00003706
504,889.14421875,0.00001414,0.00003697
505,890.82478125,0.00001411,0.00003689
506,892.50965625,0.00001408,0.00003682
507,893.84928906,0.00001406,0.00003675
508,895.58800000,0.00001403,0.00003666
509,897.25096875,0.00001400,0.00003659
510,898.50339063,0.00001398,0.00003653
511,900.36767188,0.00001395,0.00003644
512,902.07496875,0.00001393,0.00003638
513,903.32980469,0.00001390,0.00003631
514,905.02321094,0.00001387,0.00003624
515,906.39516406,0.00001385,0.00003617
516,908.06051563,0.00001382,0.00003610
517,909.68984375,0.00001380,0.00003603
518,910.92675781,0.00001377,0.00003597
519,912.75539063,0.00001375,0.00003590
